Jun 20 10:51:18 raspberrypi capture[27244]: [Course#:4][Final Project]: Linux raspberrypi 6.18.29+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.18.29-1+rpt1 (2026-05-12) aarch64 GNU/Linux
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 0] [Image Capture Start Time: 3.071485202 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 1] [Image Capture Start Time: 3.171490850 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 2] [Image Capture Start Time: 3.275477831 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 3] [Image Capture Start Time: 3.371519757 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 4] [Image Capture Start Time: 3.471576091 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 5] [Image Capture Start Time: 3.571549757 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 6] [Image Capture Start Time: 3.671618276 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 7] [Image Capture Start Time: 3.771605609 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 8] [Image Capture Start Time: 3.871592831 seconds]
Jun 20 10:51:23 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 9] [Image Capture Start Time: 3.971633664 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 10] [Image Capture Start Time: 4.071623887 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 11] [Image Capture Start Time: 4.171665090 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 12] [Image Capture Start Time: 4.271651053 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 13] [Image Capture Start Time: 4.371693312 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 14] [Image Capture Start Time: 4.471709275 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 15] [Image Capture Start Time: 4.571720386 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 16] [Image Capture Start Time: 4.671740034 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 17] [Image Capture Start Time: 4.771737831 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 18] [Image Capture Start Time: 4.871737368 seconds]
Jun 20 10:51:24 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 19] [Image Capture Start Time: 4.971784293 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 20] [Image Capture Start Time: 5.071906479 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 21] [Image Capture Start Time: 5.171782886 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 22] [Image Capture Start Time: 5.271828052 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 23] [Image Capture Start Time: 5.371811775 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 24] [Image Capture Start Time: 5.471823978 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 25] [Image Capture Start Time: 5.571837367 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 26] [Image Capture Start Time: 5.671863534 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 27] [Image Capture Start Time: 5.771871626 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 28] [Image Capture Start Time: 5.871911571 seconds]
Jun 20 10:51:25 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 29] [Image Capture Start Time: 5.971896608 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 30] [Image Capture Start Time: 6.071943459 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 31] [Image Capture Start Time: 6.171928070 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 32] [Image Capture Start Time: 6.275913774 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 33] [Image Capture Start Time: 6.371992070 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 34] [Image Capture Start Time: 6.471974793 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 35] [Image Capture Start Time: 6.572035329 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 36] [Image Capture Start Time: 6.671999126 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 37] [Image Capture Start Time: 6.772011792 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 38] [Image Capture Start Time: 6.876003792 seconds]
Jun 20 10:51:26 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 39] [Image Capture Start Time: 6.972042551 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 40] [Image Capture Start Time: 7.072084922 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 41] [Image Capture Start Time: 7.172072274 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 42] [Image Capture Start Time: 7.272117181 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 43] [Image Capture Start Time: 7.372101292 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 44] [Image Capture Start Time: 7.472133681 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 45] [Image Capture Start Time: 7.572138292 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 46] [Image Capture Start Time: 7.672144977 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 47] [Image Capture Start Time: 7.772160662 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 48] [Image Capture Start Time: 7.872185181 seconds]
Jun 20 10:51:27 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 49] [Image Capture Start Time: 7.972187366 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 50] [Image Capture Start Time: 8.072204421 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 51] [Image Capture Start Time: 8.172261903 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 52] [Image Capture Start Time: 8.272273421 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 53] [Image Capture Start Time: 8.372305921 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 54] [Image Capture Start Time: 8.472263032 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 55] [Image Capture Start Time: 8.572284643 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 56] [Image Capture Start Time: 8.672308402 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 57] [Image Capture Start Time: 8.772306810 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 58] [Image Capture Start Time: 8.872334847 seconds]
Jun 20 10:51:28 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 59] [Image Capture Start Time: 8.972331365 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 60] [Image Capture Start Time: 9.072368661 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 61] [Image Capture Start Time: 9.172363143 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 62] [Image Capture Start Time: 9.272376920 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 63] [Image Capture Start Time: 9.372390772 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 64] [Image Capture Start Time: 9.472421143 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 65] [Image Capture Start Time: 9.572418902 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 66] [Image Capture Start Time: 9.672458068 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 67] [Image Capture Start Time: 9.772453198 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 68] [Image Capture Start Time: 9.872462550 seconds]
Jun 20 10:51:29 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 69] [Image Capture Start Time: 9.972480179 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 70] [Image Capture Start Time: 10.072494716 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 71] [Image Capture Start Time: 10.172566568 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 72] [Image Capture Start Time: 10.272592864 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 73] [Image Capture Start Time: 10.372574161 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 74] [Image Capture Start Time: 10.472642901 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 75] [Image Capture Start Time: 10.572603586 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 76] [Image Capture Start Time: 10.672653734 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 77] [Image Capture Start Time: 10.772633846 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 78] [Image Capture Start Time: 10.872660475 seconds]
Jun 20 10:51:30 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 79] [Image Capture Start Time: 10.972665031 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 80] [Image Capture Start Time: 11.072746382 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 81] [Image Capture Start Time: 11.172652845 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 82] [Image Capture Start Time: 11.272675771 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 83] [Image Capture Start Time: 11.372680493 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 84] [Image Capture Start Time: 11.472696512 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 85] [Image Capture Start Time: 11.572715456 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 86] [Image Capture Start Time: 11.672725271 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 87] [Image Capture Start Time: 11.772743104 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 88] [Image Capture Start Time: 11.872752308 seconds]
Jun 20 10:51:31 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 89] [Image Capture Start Time: 11.972770993 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 90] [Image Capture Start Time: 12.072785530 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 91] [Image Capture Start Time: 12.172799493 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 92] [Image Capture Start Time: 12.272810808 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 93] [Image Capture Start Time: 12.372829733 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 94] [Image Capture Start Time: 12.472850511 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 95] [Image Capture Start Time: 12.572877326 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 96] [Image Capture Start Time: 12.672894659 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 97] [Image Capture Start Time: 12.772890826 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 98] [Image Capture Start Time: 12.872900807 seconds]
Jun 20 10:51:32 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 99] [Image Capture Start Time: 12.972918844 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 100] [Image Capture Start Time: 13.072932066 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 101] [Image Capture Start Time: 13.172949511 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 102] [Image Capture Start Time: 13.272960788 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 103] [Image Capture Start Time: 13.372978085 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 104] [Image Capture Start Time: 13.472992474 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 105] [Image Capture Start Time: 13.573006566 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 106] [Image Capture Start Time: 13.673032973 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 107] [Image Capture Start Time: 13.773035992 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 108] [Image Capture Start Time: 13.873049103 seconds]
Jun 20 10:51:33 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 109] [Image Capture Start Time: 13.973061751 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 110] [Image Capture Start Time: 14.073080455 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 111] [Image Capture Start Time: 14.173090214 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 112] [Image Capture Start Time: 14.273119029 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 113] [Image Capture Start Time: 14.373120473 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 114] [Image Capture Start Time: 14.473140084 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 115] [Image Capture Start Time: 14.573147806 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 116] [Image Capture Start Time: 14.673169602 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 117] [Image Capture Start Time: 14.773177658 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 118] [Image Capture Start Time: 14.873191232 seconds]
Jun 20 10:51:34 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 119] [Image Capture Start Time: 14.973205232 seconds]
Jun 20 10:51:35 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 120] [Image Capture Start Time: 15.073221454 seconds]
Jun 20 10:51:35 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 121] [Image Capture Start Time: 15.173246324 seconds]
Jun 20 10:51:35 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 122] [Image Capture Start Time: 15.273251028 seconds]
Jun 20 10:51:35 raspberrypi capture[27244]: [Course #:4] [Final Project] [Frame Count: 123] [Image Capture Start Time: 15.373273824 seconds]
