Jun 20 11:14:20 raspberrypi capture[49573]: [Course#:4][Final Project]: Linux raspberrypi 6.18.29+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.18.29-1+rpt1 (2026-05-12) aarch64 GNU/Linux
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 0] [Image Capture Start Time: 3.107786221 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 1] [Image Capture Start Time: 3.239816776 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 2] [Image Capture Start Time: 3.307814036 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 3] [Image Capture Start Time: 3.439880035 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 4] [Image Capture Start Time: 3.539867961 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 5] [Image Capture Start Time: 3.639904239 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 6] [Image Capture Start Time: 3.707871665 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 7] [Image Capture Start Time: 3.839907369 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 8] [Image Capture Start Time: 3.939923906 seconds]
Jun 20 11:14:25 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 9] [Image Capture Start Time: 4.039938628 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 10] [Image Capture Start Time: 4.143923979 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 11] [Image Capture Start Time: 4.207973405 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 12] [Image Capture Start Time: 4.340013887 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 13] [Image Capture Start Time: 4.439994516 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 14] [Image Capture Start Time: 4.540012016 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 15] [Image Capture Start Time: 4.640050275 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 16] [Image Capture Start Time: 4.740043201 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 17] [Image Capture Start Time: 4.840052720 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 18] [Image Capture Start Time: 4.940099053 seconds]
Jun 20 11:14:26 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 19] [Image Capture Start Time: 5.040297701 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 20] [Image Capture Start Time: 5.140128220 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 21] [Image Capture Start Time: 5.240172849 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 22] [Image Capture Start Time: 5.340128090 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 23] [Image Capture Start Time: 5.440198442 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 24] [Image Capture Start Time: 5.540160016 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 25] [Image Capture Start Time: 5.640200090 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 26] [Image Capture Start Time: 5.740184627 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 27] [Image Capture Start Time: 5.840195793 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 28] [Image Capture Start Time: 5.940224386 seconds]
Jun 20 11:14:27 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 29] [Image Capture Start Time: 6.040298126 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 30] [Image Capture Start Time: 6.140253978 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 31] [Image Capture Start Time: 6.240259886 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 32] [Image Capture Start Time: 6.340283571 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 33] [Image Capture Start Time: 6.440287052 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 34] [Image Capture Start Time: 6.540301534 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 35] [Image Capture Start Time: 6.640315367 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 36] [Image Capture Start Time: 6.740329867 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 37] [Image Capture Start Time: 6.840342052 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 38] [Image Capture Start Time: 6.940366293 seconds]
Jun 20 11:14:28 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 39] [Image Capture Start Time: 7.040435570 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 40] [Image Capture Start Time: 7.140393274 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 41] [Image Capture Start Time: 7.240405755 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 42] [Image Capture Start Time: 7.340419052 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 43] [Image Capture Start Time: 7.440435940 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 44] [Image Capture Start Time: 7.540444440 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 45] [Image Capture Start Time: 7.640459866 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 46] [Image Capture Start Time: 7.740477662 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 47] [Image Capture Start Time: 7.840487718 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 48] [Image Capture Start Time: 7.940532959 seconds]
Jun 20 11:14:29 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 49] [Image Capture Start Time: 8.040570681 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 50] [Image Capture Start Time: 8.140545625 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 51] [Image Capture Start Time: 8.240549921 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 52] [Image Capture Start Time: 8.340565236 seconds]
Jun 20 11:14:30 raspberrypi capture[49573]: [Course #:4] [Final Project] [Frame Count: 53] [Image Capture Start Time: 8.440578107 seconds]
