Jun 13 09:29:19 raspberrypi capture[51203]: [Course#:4][Final Project]: Linux raspberrypi 6.18.29+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.18.29-1+rpt1 (2026-05-12) aarch64 GNU/Linux
Jun 13 09:29:40 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 0] [Image Capture Start Time: 21.0 seconds]
Jun 13 09:29:41 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 1] [Image Capture Start Time: 22.0 seconds]
Jun 13 09:29:42 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 2] [Image Capture Start Time: 23.0 seconds]
Jun 13 09:29:43 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 3] [Image Capture Start Time: 24.0 seconds]
Jun 13 09:29:44 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 4] [Image Capture Start Time: 25.0 seconds]
Jun 13 09:29:45 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 5] [Image Capture Start Time: 26.0 seconds]
Jun 13 09:29:46 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 6] [Image Capture Start Time: 27.0 seconds]
Jun 13 09:29:47 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 7] [Image Capture Start Time: 28.0 seconds]
Jun 13 09:29:48 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 8] [Image Capture Start Time: 29.0 seconds]
Jun 13 09:29:49 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 9] [Image Capture Start Time: 30.0 seconds]
Jun 13 09:29:50 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 10] [Image Capture Start Time: 31.0 seconds]
Jun 13 09:29:51 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 11] [Image Capture Start Time: 32.0 seconds]
Jun 13 09:29:52 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 12] [Image Capture Start Time: 33.0 seconds]
Jun 13 09:29:53 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 13] [Image Capture Start Time: 34.0 seconds]
Jun 13 09:29:54 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 14] [Image Capture Start Time: 35.0 seconds]
Jun 13 09:29:55 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 15] [Image Capture Start Time: 36.0 seconds]
Jun 13 09:29:56 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 16] [Image Capture Start Time: 37.0 seconds]
Jun 13 09:29:57 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 17] [Image Capture Start Time: 38.0 seconds]
Jun 13 09:29:58 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 18] [Image Capture Start Time: 39.0 seconds]
Jun 13 09:29:59 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 19] [Image Capture Start Time: 40.0 seconds]
Jun 13 09:30:00 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 20] [Image Capture Start Time: 41.0 seconds]
Jun 13 09:30:01 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 21] [Image Capture Start Time: 42.0 seconds]
Jun 13 09:30:02 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 22] [Image Capture Start Time: 43.0 seconds]
Jun 13 09:30:03 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 23] [Image Capture Start Time: 44.0 seconds]
Jun 13 09:30:04 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 24] [Image Capture Start Time: 45.0 seconds]
Jun 13 09:30:05 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 25] [Image Capture Start Time: 46.0 seconds]
Jun 13 09:30:06 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 26] [Image Capture Start Time: 47.0 seconds]
